old_url,new_url,page_type,category,reason,redirect_required,notes,source_audit_row
https://www.standardautomation.in/aluminium-single-wall.html,/products/rolling-shutters/aluminium-single-wall/,product,Rolling Shutters,Product detail page under its category,Yes,,https://www.standardautomation.in/aluminium-single-wall.html
http://www.standardautomation.in/aluminium-single-wall.html,/products/rolling-shutters/aluminium-single-wall/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/aluminium-single-wall.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/aluminium-single-wall.html
https://www.standardautomation.in/bollard.html,/products/bollard-turnstile-barriers/,category,Bollard,Category landing page under new /products/ path,Yes,,https://www.standardautomation.in/bollard.html
http://www.standardautomation.in/bollard.html,/products/bollard-turnstile-barriers/,category (protocol/www duplicate),Bollard,Duplicate of https://www.standardautomation.in/bollard.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/bollard.html
https://www.standardautomation.in/turnstile.html,/products/bollard-turnstile-barriers/,category,Turnstile,Category landing page under new /products/ path,Yes,,https://www.standardautomation.in/turnstile.html
http://www.standardautomation.in/turnstile.html,/products/bollard-turnstile-barriers/,category (protocol/www duplicate),Turnstile,Duplicate of https://www.standardautomation.in/turnstile.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/turnstile.html
https://www.standardautomation.in/tripod-turnstile.html,/products/bollard-turnstile-barriers/tripod-turnstile/,product,Turnstile,Product detail page under its category,Yes,,https://www.standardautomation.in/tripod-turnstile.html
http://www.standardautomation.in/tripod-turnstile.html,/products/bollard-turnstile-barriers/tripod-turnstile/,product (protocol/www duplicate),Turnstile,Duplicate of https://www.standardautomation.in/tripod-turnstile.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/tripod-turnstile.html
https://www.standardautomation.in/flap-barrier.html,/products/bollard-turnstile-barriers/flap-barrier/,product,Turnstile,Product detail page under its category,Yes,,https://www.standardautomation.in/flap-barrier.html
http://www.standardautomation.in/flap-barrier.html,/products/bollard-turnstile-barriers/flap-barrier/,product (protocol/www duplicate),Turnstile,Duplicate of https://www.standardautomation.in/flap-barrier.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/flap-barrier.html
https://www.standardautomation.in/full-height-barrier.html,/products/bollard-turnstile-barriers/full-height-barrier/,product,Turnstile,Product detail page under its category,Yes,,https://www.standardautomation.in/full-height-barrier.html
http://www.standardautomation.in/full-height-barrier.html,/products/bollard-turnstile-barriers/full-height-barrier/,product (protocol/www duplicate),Turnstile,Duplicate of https://www.standardautomation.in/full-height-barrier.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/full-height-barrier.html
http://www.standardautomation.in/tile-adhesive.html,(none),dead-404,,Already 404 on live site — see research/url-migration-map.csv for per-page detail,No,,http://www.standardautomation.in/tile-adhesive.html
https://www.standardautomation.in/tile-adhesive.html,(none),dead-404 (protocol/www duplicate),,Duplicate of http://www.standardautomation.in/tile-adhesive.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",https://www.standardautomation.in/tile-adhesive.html
http://www.standardautomation.in/epoxy-tile-grout.html,(none),dead-404,,Already 404 on live site — see research/url-migration-map.csv for per-page detail,No,,http://www.standardautomation.in/epoxy-tile-grout.html
https://www.standardautomation.in/epoxy-tile-grout.html,(none),dead-404 (protocol/www duplicate),,Duplicate of http://www.standardautomation.in/epoxy-tile-grout.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",https://www.standardautomation.in/epoxy-tile-grout.html
http://www.standardautomation.in/industrial-engg-grout.html,(none),dead-404,,Already 404 on live site — see research/url-migration-map.csv for per-page detail,No,,http://www.standardautomation.in/industrial-engg-grout.html
https://www.standardautomation.in/industrial-engg-grout.html,(none),dead-404 (protocol/www duplicate),,Duplicate of http://www.standardautomation.in/industrial-engg-grout.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",https://www.standardautomation.in/industrial-engg-grout.html
