"product_id","product","family","variant_id","group","field","unit","guidance","value"
"retractable-gates","Retractable Gates","Automatic Gates","","Dimensions","Maximum leaf weight","kg","With the operator, this is what sizes the drive.","Per the gate length; configuration dependent *"
"retractable-gates","Retractable Gates","Automatic Gates","","Dimensions","Side-run or swing room required","mm","","Parked stack length; confirmed at survey *"
"retractable-gates","Retractable Gates","Automatic Gates","","Cycle performance","Travel speed","m/min","","17–19 m/min"
"retractable-gates","Retractable Gates","Automatic Gates","","Cycle performance","Opening time for full travel","s","","Length-dependent at 17–19 m/min travel speed"
"retractable-gates","Retractable Gates","Automatic Gates","","Cycle performance","Rated daily cycles","cycles/day","","Duty dependent; confirmed at order *"
"retractable-gates","Retractable Gates","Automatic Gates","","Construction","Frame section","","","52 × 50 × 0.65 mm"
"retractable-gates","Retractable Gates","Automatic Gates","","Construction","Infill","","","Powder-coated aluminium alloy lattice (52 × 50 × 0.65 mm main, 44 × 35 × 0.6 mm cross tubes)"
"retractable-gates","Retractable Gates","Automatic Gates","","Construction","Running gear","","Wheels, rollers, cantilever carriage or hinges.","Plastic or cast aluminium, 95 mm diameter"
"retractable-gates","Retractable Gates","Automatic Gates","","Construction","Ground arrangement","","Tracked, trackless or cantilever.","No track, single track, double track"
"retractable-gates","Retractable Gates","Automatic Gates","","Construction","Posts and foundations","","","Survey dependent — sized to the ground and the track arrangement *"
"retractable-gates","Retractable Gates","Automatic Gates","","Construction","Finish and colour","","","Silver, black, red"
"retractable-gates","Retractable Gates","Automatic Gates","","Drive","Operator type","","","Electric drive, 370 / 550 / 750 W, sized to the gate length"
"retractable-gates","Retractable Gates","Automatic Gates","","Drive","Rated motor power","kW","","370 W / 550 W / 750 W"
"retractable-gates","Retractable Gates","Automatic Gates","","Drive","Supply voltage","V / phase / Hz","","220 V ±10%, 50 Hz"
"retractable-gates","Retractable Gates","Automatic Gates","","Drive","Duty rating","cycles per hour or %ED","Duty, not torque, is what usually limits an operator.","Drive sized to the duty at order *"
"retractable-gates","Retractable Gates","Automatic Gates","","Drive","Manual override","","","Manual release for hand operation during a power failure"
"retractable-gates","Retractable Gates","Automatic Gates","","Control","Control system","","","Drive control unit in the leading section *"
"retractable-gates","Retractable Gates","Automatic Gates","","Control","Activation devices","","","Radio remote control (≥ 30 m range)"
"retractable-gates","Retractable Gates","Automatic Gates","","Control","Travel limit setting","","","Set at commissioning *"
"retractable-gates","Retractable Gates","Automatic Gates","","Control","Interfaces","","Access control, traffic lights, alarm panel, interlocks.","Configuration dependent *"
"retractable-gates","Retractable Gates","Automatic Gates","","Safety","Photocells","","","Configuration dependent *"
"retractable-gates","Retractable Gates","Automatic Gates","","Safety","Safety edge","","","Configuration dependent *"
"retractable-gates","Retractable Gates","Automatic Gates","","Safety","Obstruction detection","","","Infrared sensor; auto-stop on an obstacle within 500 mm"
"retractable-gates","Retractable Gates","Automatic Gates","","Safety","Operating force limitation","","EN 12453.","Certification dependent (EN 12453) *"
"retractable-gates","Retractable Gates","Automatic Gates","","Safety","Manual release","","","Manual release for hand operation during a power failure"
"retractable-gates","Retractable Gates","Automatic Gates","","Safety","Warning light and audible warning","","","Configuration dependent *"
"retractable-gates","Retractable Gates","Automatic Gates","","Compliance","Product standard","","EN 13241 and EN 12604 apply to powered gates in this market.","Certification dependent (EN 13241 / EN 12604 field list) *"
"retractable-gates","Retractable Gates","Automatic Gates","","Compliance","Conformity marking","","","Certification dependent *"
"retractable-gates","Retractable Gates","Automatic Gates","","Compliance","Certificate reference","","Required before any rating is published.","Certification dependent *"
"retractable-gates","Retractable Gates","Automatic Gates","","Additional published data","Cross tube","","Published for this line but outside the standard field list.","44 × 35 × 0.6 mm"
"retractable-gates","Retractable Gates","Automatic Gates","","Additional published data","Operating current","","Published for this line but outside the standard field list.","≤ 2.5 A × 2"
"retractable-gates","Retractable Gates","Automatic Gates","","Additional published data","Remote control range","","Published for this line but outside the standard field list.","≥ 30 m"
"retractable-gates","Retractable Gates","Automatic Gates","","Additional published data","Working temperature","","Published for this line but outside the standard field list.","-25 °C to +75 °C"
"retractable-gates","Retractable Gates","Automatic Gates","trackless","Variant — Trackless","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","trackless","Variant — Trackless","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","trackless","Variant — Trackless","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","single-track","Variant — Single track","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","single-track","Variant — Single track","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","single-track","Variant — Single track","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","double-track","Variant — Double track","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","double-track","Variant — Double track","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","double-track","Variant — Double track","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Dimensions","Opening width","mm","","Made to the bay"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Dimensions","Opening height","mm","","Made to the bay"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Dimensions","Projection from the building line","mm","","Sized to the bay and the vehicle mix; confirmed at survey *"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Construction","Frame material","","","Aluminium alloy"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Construction","Sealing arrangement","","Curtain, cushion or inflatable.","Curtain shelter: rubber front curtains with PVC-coated polyester-mesh or glass-fibre side curtains"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Construction","Curtain material and weight","","","Front curtain 2–3 mm rubber sheet; side curtains PVC-coated polyester mesh or glass fibre (weight to be confirmed)"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Construction","Head and side seal configuration","","","Rubber head curtain with flexible side curtains on a metal frame"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Construction","Impact behaviour","","The frame should deflect rather than load the building.","Flexible collision-avoidance frame that deflects on vehicle impact"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Construction","Finish and colour","","","Made to the bay and to requirement"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Performance","Wind loading","","","Above force 10"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Performance","Service life","years","","10–20 years"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Performance","Operating temperature","°C","","Passive seal, no powered components; suited to the ambient conditions of the bay *"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Performance","Function","","Heat retention, dust and water exclusion.","Heat retention, dustproof, waterproof"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Compliance","Product standard","","No harmonised product standard applies to dock shelters; the bay is specified as an assembly.","No harmonised product standard; the bay is specified as an assembly *"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Compliance","Conformity marking","","","Certification dependent *"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","","Compliance","Certificate reference","","Required before any rating is published.","Certification dependent *"
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","curtain","Variant — Curtain shelter","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","curtain","Variant — Curtain shelter","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","curtain","Variant — Curtain shelter","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","dock-house","Variant — Dock house","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","dock-house","Variant — Dock house","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","dock-house","Variant — Dock house","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","inflatable","Variant — Inflatable shelter","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","inflatable","Variant — Inflatable shelter","","","Only fill this in where the configuration changes the figure.",""
"dock-shelters-and-houses","Dock Shelters & Dock Houses","Loading Bay Equipment","inflatable","Variant — Inflatable shelter","","","Only fill this in where the configuration changes the figure.",""
